City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,East London,ZA,69.82,Clear Sky,-33.0153,27.9116,Tu Casa
2,Geraldton,AU,57.61,Few Clouds,-28.7667,114.6,Broadwater Mariner Resort
5,Hobart,AU,59.05,Overcast Clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
6,Hermanus,ZA,66.79,Clear Sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Busselton,AU,55.56,Broken Clouds,-33.65,115.3333,Observatory Guest House
11,Parabel,RU,55.96,Overcast Clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
18,Lebu,CL,54.09,Broken Clouds,-37.6167,-73.65,Hostal Las Lilas
20,Fortuna,US,48.65,Overcast Clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
22,New Norfolk,AU,58.71,Overcast Clouds,-42.7826,147.0587,The Shingles Riverside Cottages
25,Kaitangata,NZ,45.21,Broken Clouds,-46.2817,169.8464,Kaitangata Motor Camp
26,Ucluelet,CA,47.08,Overcast Clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
28,Kapaa,US,72.12,Light Rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Constitucion,CL,58.41,Clear Sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
33,Ancud,CL,47.86,Overcast Clouds,-41.8697,-73.8203,Hotel Arena Gruesa
35,Huilong,CN,55.92,Overcast Clouds,31.8111,121.655,Hilton Garden Inn Qidong
39,Yinchuan,CN,60.73,Overcast Clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
41,Gezing,AT,61.63,Few Clouds,47.9178,13.1299,Landhaus Brieger
42,Mikhaylovka,RU,57.78,Scattered Clouds,50.06,43.2379,5 Komnat
48,Sabratah,LY,68.65,Overcast Clouds,32.7933,12.4885,شقق مفروش شمس الاصيل
50,Ranau,MY,70.11,Overcast Clouds,5.9538,116.6641,The Second Room
51,Port Elizabeth,ZA,66.31,Clear Sky,-33.918,25.5701,39 On Nile Guest House
59,Rio Grande,BR,64.51,Overcast Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
63,Bluff,NZ,47.89,Broken Clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
64,Bundaberg,AU,67.21,Broken Clouds,-24.85,152.35,Takalvan Motel
65,Mahebourg,MU,74.25,Scattered Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Kruisfontein,ZA,61.88,Clear Sky,-34.0033,24.7314,Oyster Bay House Rental
68,Codrington,AU,68.04,Clear Sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
72,Hami,CN,62.73,Overcast Clouds,42.8,93.45,Laoyutang Resort
73,Mar Del Plata,AR,54.88,Clear Sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
74,Waipawa,NZ,49.32,Broken Clouds,-41.4122,175.5153,Tora Coastal Walk
76,Mount Gambier,AU,69.17,Scattered Clouds,-37.8333,140.7667,The Commodore
78,Katsuura,JP,59.36,Scattered Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
82,Charagua,BO,74.77,Broken Clouds,-19.8,-63.2167,Hotel
86,Mollendo,PE,67.87,Overcast Clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
90,Pombia,IT,71.94,Clear Sky,45.653,8.6336,Albergo Fontana
92,Blackwater,AU,66.74,Scattered Clouds,-23.5833,148.8833,Blackwater Motor Inn
93,Port Alfred,ZA,68.18,Clear Sky,-33.5906,26.891,The Halyards Hotel
99,Salinas,US,55.56,Scattered Clouds,36.6777,-121.6555,Laurel Inn & Conference Center
101,Bredasdorp,ZA,60.87,Few Clouds,-34.5322,20.0403,Bredasdorp Country Manor
105,Arcata,US,49.75,Overcast Clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
106,Sijunjung,ID,74.46,Moderate Rain,-0.6876,100.9537,Hotel Bukik Gadang
107,Arica,CL,68.23,Overcast Clouds,-18.475,-70.3042,Hostal Jardin Del Sol
110,Carnarvon,AU,68.07,Clear Sky,-24.8667,113.6333,Hospitality Carnarvon
114,Cape Town,ZA,64.35,Clear Sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
115,Inhambane,MZ,69.19,Light Rain,-23.865,35.3833,Oceano
117,Charlestown,AU,68.83,Broken Clouds,-32.95,151.6667,Panorama Motor Inn Hotel
124,Lompoc,US,58.78,Clear Sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
127,Swiecie,PL,59.31,Overcast Clouds,53.4095,18.4474,Hotel i Restauracja Vistula
130,Torbay,CA,50.76,Broken Clouds,47.6666,-52.7314,Gallows Cove
136,Rock Springs,US,60.04,Few Clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
141,Progress,US,51.44,Clear Sky,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
143,Narsaq,GL,57.42,Overcast Clouds,60.9167,-46.05,Sleep In Narsaq
145,Necochea,AR,54.55,Few Clouds,-38.5473,-58.7368,dyd -mar Hotel
147,Toba,JP,65.08,Overcast Clouds,34.4833,136.85,ホテル アルティア鳥羽
148,Los Llanos De Aridane,ES,66.13,Few Clouds,28.6585,-17.9182,Valle Aridane
151,Kaliua,TZ,67.64,Light Rain,-5.0606,31.7936,Millennium Complex
152,Lichtenburg,ZA,60.82,Few Clouds,-26.152,26.1597,Kennzy Guest House
154,Botwood,CA,55.9,Overcast Clouds,49.1499,-55.3482,Exploits Inn & Suites
157,Luwingu,ZM,62.6,Overcast Clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
158,Hasaki,JP,54.0,Few Clouds,35.7333,140.8333,Inubosaki Kanko Hotel
165,Ahuimanu,US,73.11,Overcast Clouds,21.4447,-157.8378,Paradise Bay Resort
167,Kawalu,ID,73.89,Overcast Clouds,-7.3817,108.2082,West Jontor
173,Marystown,CA,47.86,Overcast Clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
174,Asau,RO,51.28,Light Rain,46.4333,26.4,Casa Mika Ciobanus
179,San Juan,AR,57.38,Clear Sky,-31.5375,-68.5364,Hotel Provincial
180,Klaksvik,FO,47.32,Broken Clouds,62.2266,-6.589,Airbnb rooms
187,Kaeo,NZ,59.27,Broken Clouds,-35.1,173.7833,Bushido Lodge
189,Ribeira Grande,PT,63.0,Light Rain,38.5167,-28.7,Quinta da Meia Eira
195,Zhangjiakou,CN,50.2,Few Clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
196,Constanta,RO,61.7,Few Clouds,44.1833,28.65,Maria Hotel
197,Ahipara,NZ,57.74,Scattered Clouds,-35.1667,173.1667,Ahipara Holiday Park
198,Altona,DE,62.15,Clear Sky,53.55,9.9333,Clipper Boardinghouse Hamburg-Holzhafen
201,Nola,IT,72.01,Clear Sky,40.922,14.5329,Palazzo Giordano Bruno
205,Anshun,CN,58.96,Few Clouds,26.25,105.9333,安顺麦吉风格酒店
208,Christchurch,NZ,48.94,Fog,-43.5333,172.6333,The George
209,Ozinki,RU,51.64,Broken Clouds,51.1786,49.6769,Korolevskiy Dvor
211,Liwale,TZ,68.81,Broken Clouds,-9.7667,37.9333,Nakivubo Executive Lodge
213,Uri,IN,60.93,Broken Clouds,34.0833,74.0333,Hotel Uri Hills
215,Ukiah,US,53.44,Clear Sky,39.1502,-123.2078,Hampton Inn Ukiah
217,Tezu,IN,74.5,Clear Sky,27.9167,96.1667,Circuit House
219,Privolzhye,RU,46.51,Scattered Clouds,52.8649,48.6044,Dolina Sloz
222,Sao Filipe,CV,71.76,Clear Sky,14.8961,-24.4956,Hotel Xaguate
223,Shitanjing,CN,56.43,Overcast Clouds,39.2342,106.3439,Yingbin Hotel
227,Yining,CN,53.98,Overcast Clouds,29.0361,114.5636,Xiushui Hotel
237,Lubango,AO,69.03,Overcast Clouds,-14.9172,13.4925,Hotel Serra da Chela
238,Port Shepstone,ZA,68.43,Clear Sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
239,Ulladulla,AU,61.7,Scattered Clouds,-35.35,150.4667,Sandpiper Motel
241,Ponta Do Sol,PT,68.72,Overcast Clouds,32.6667,-17.1,Hotel do Campo
244,Banepa,NP,73.72,Scattered Clouds,27.6298,85.5214,Dhulikhel Lodge Resort
