City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
0,Kavieng,PG,-2.5744,150.7967,82.74,71,100,6.38,overcast clouds
1,East London,ZA,-33.0153,27.9116,69.82,57,0,6.8,clear sky
2,Geraldton,AU,-28.7667,114.6,57.61,94,23,6.91,few clouds
3,Rikitea,PF,-23.1203,-134.9692,77.02,72,14,20.56,few clouds
4,Nikolskoye,RU,59.7035,30.7861,41.88,49,84,6.33,broken clouds
5,Hobart,AU,-42.8794,147.3294,59.05,93,100,10.36,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,66.79,67,2,14.72,clear sky
7,Busselton,AU,-33.65,115.3333,55.56,79,81,5.68,broken clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,55,0,14.97,clear sky
9,Rafsanjan,IR,30.4067,55.9939,80.06,10,74,11.21,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,7.5,97,100,5.77,overcast clouds
11,Parabel,RU,58.6978,81.4825,55.96,86,100,10.63,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,27.63,clear sky
13,Bronnoysund,NO,65.4625,12.1997,37.4,60,75,10.36,broken clouds
14,Yellowknife,CA,62.456,-114.3525,36.95,63,34,11.1,scattered clouds
15,Srednekolymsk,RU,67.45,153.6833,4.71,98,100,4.85,overcast clouds
16,Kochevo,RU,59.5994,54.3125,28.63,85,100,7.05,overcast clouds
17,Kurumkan,RU,54.3,110.3,28.47,71,11,5.14,few clouds
18,Lebu,CL,-37.6167,-73.65,54.09,58,77,9.04,broken clouds
19,Champerico,GT,14.3,-91.9167,90.14,65,66,2.04,broken clouds
20,Fortuna,US,40.5982,-124.1573,48.65,96,100,1.01,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,41.18,99,14,1.92,few clouds
22,New Norfolk,AU,-42.7826,147.0587,58.71,86,100,3.42,overcast clouds
23,Magistralnyy,RU,56.1725,107.4458,26.38,95,28,2.73,scattered clouds
24,Butaritari,KI,3.0707,172.7902,80.83,82,100,16.64,light rain
25,Kaitangata,NZ,-46.2817,169.8464,45.21,94,70,3.62,broken clouds
26,Ucluelet,CA,48.9329,-125.5528,47.08,84,100,3.69,overcast clouds
27,Chokurdakh,RU,70.6333,147.9167,-11.22,100,94,3.74,overcast clouds
28,Kapaa,US,22.0752,-159.319,72.12,95,100,12.66,light rain
29,Osa,RU,57.2829,55.4567,38.52,71,100,11.18,overcast clouds
30,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,2.3,few clouds
31,Hofn,IS,64.2539,-15.2082,45.0,75,15,7.52,few clouds
32,Constitucion,CL,-35.3333,-72.4167,58.41,55,6,10.78,clear sky
33,Ancud,CL,-41.8697,-73.8203,47.86,73,100,2.86,overcast clouds
34,Saint-Pierre,RE,-21.3393,55.4781,76.68,75,0,4.61,clear sky
35,Huilong,CN,31.8111,121.655,55.92,94,100,24.49,overcast clouds
36,Villa Bruzual,VE,9.3328,-69.1208,89.38,55,49,3.8,scattered clouds
37,Beneditinos,BR,-5.45,-42.3667,88.9,52,93,3.85,overcast clouds
38,Dingle,PH,10.9995,122.6711,77.0,89,100,5.55,overcast clouds
39,Yinchuan,CN,38.4681,106.2731,60.73,21,97,3.65,overcast clouds
40,Itoman,JP,26.1247,127.6694,79.18,92,75,10.36,broken clouds
41,Gezing,AT,47.9178,13.1299,61.63,53,22,9.22,few clouds
42,Mikhaylovka,RU,50.06,43.2379,57.78,62,37,9.64,scattered clouds
43,Partizanskoye,RU,55.5006,94.39,44.8,71,98,8.57,overcast clouds
44,Mozarlandia,BR,-14.7447,-50.5706,90.79,31,1,6.8,clear sky
45,Husavik,IS,66.0449,-17.3389,44.91,63,28,7.74,scattered clouds
46,Vostok,RU,46.4856,135.8833,28.17,85,31,3.85,scattered clouds
47,Ushuaia,AR,-54.8,-68.3,44.22,75,40,36.82,scattered clouds
48,Sabratah,LY,32.7933,12.4885,68.65,58,98,23.58,overcast clouds
49,Cravo Norte,CO,6.3017,-70.2041,89.29,50,73,3.87,broken clouds
50,Ranau,MY,5.9538,116.6641,70.11,99,92,1.41,overcast clouds
51,Port Elizabeth,ZA,-33.918,25.5701,66.31,49,2,5.35,clear sky
52,Binika,IN,21.0333,83.8,95.63,10,0,3.31,clear sky
53,Samarai,PG,-10.6167,150.6667,81.48,80,18,10.2,few clouds
54,Barrow,US,71.2906,-156.7887,5.02,85,100,20.71,overcast clouds
55,Cherskiy,RU,68.75,161.3,21.58,96,100,8.84,overcast clouds
56,Rangpur,BD,25.75,89.25,85.77,53,0,7.85,clear sky
57,Chake Chake,TZ,-5.2459,39.7666,76.93,90,80,10.96,moderate rain
58,Chiang Mai,TH,18.75,99.0,88.59,67,40,14.97,scattered clouds
59,Rio Grande,BR,-32.035,-52.0986,64.51,86,100,11.3,overcast clouds
60,Tuzha,RU,57.6062,47.936,34.14,54,72,5.93,broken clouds
