City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-04-25 03:19:29,72.7868,-56.1549,-0.54,88,42,6.49
1,Sitka,US,2022-04-25 03:21:21,57.0531,-135.33,46.29,76,75,9.22
2,Ushuaia,AR,2022-04-25 03:18:12,-54.8,-68.3,37.06,81,0,5.75
3,Punta Arenas,CL,2022-04-25 03:22:13,-53.15,-70.9167,42.91,87,100,10.36
4,Mataura,NZ,2022-04-25 03:18:13,-46.1927,168.8643,53.47,82,92,12.86
5,Port Alfred,ZA,2022-04-25 03:22:13,-33.5906,26.891,56.17,74,99,4.0
6,Severo-Kurilsk,RU,2022-04-25 03:22:14,50.6789,156.125,33.82,94,90,3.18
7,Portland,US,2022-04-25 03:20:46,45.5234,-122.6762,66.13,47,75,4.61
8,Ardabil,IR,2022-04-25 03:21:26,38.2498,48.2933,49.55,87,75,4.61
9,Avarua,CK,2022-04-25 03:21:26,-21.2078,-159.775,82.45,74,20,4.61
10,Mar Del Plata,AR,2022-04-25 03:19:40,-38.0023,-57.5575,65.88,66,81,15.01
11,Schroeder,BR,2022-04-25 03:21:27,-26.4125,-49.0731,69.76,94,99,0.45
12,Cayenne,GF,2022-04-25 03:21:28,4.9333,-52.3333,81.09,1,40,3.44
13,Lavrentiya,RU,2022-04-25 03:21:29,65.5833,-171.0,27.81,79,39,3.85
14,Hermanus,ZA,2022-04-25 03:21:30,-34.4187,19.2345,58.57,71,96,2.71
15,Rikitea,PF,2022-04-25 03:18:56,-23.1203,-134.9692,72.72,85,100,13.8
16,Sao Felix Do Xingu,BR,2022-04-25 03:21:31,-6.6447,-51.995,72.21,97,100,1.74
17,Batemans Bay,AU,2022-04-25 03:21:31,-35.7167,150.1833,66.09,62,99,4.81
18,Atbasar,KZ,2022-04-25 03:21:32,51.8,68.3333,40.01,38,8,8.16
19,Umm Lajj,SA,2022-04-25 03:21:33,25.0213,37.2685,74.8,47,1,3.29
20,Canita,PA,2022-04-25 03:21:34,9.2097,-78.8811,75.69,94,100,0.96
21,Boa Vista,BR,2022-04-25 03:21:35,2.8197,-60.6733,78.78,78,40,2.3
22,West Wendover,US,2022-04-25 03:21:35,40.7391,-114.0733,52.81,32,0,6.91
23,Sorland,NO,2022-04-25 03:21:36,67.667,12.6934,39.4,92,100,13.35
24,Tavda,RU,2022-04-25 03:21:37,58.0425,65.2726,45.09,71,93,6.6
25,Lagoa,PT,2022-04-25 03:21:37,39.05,-27.9833,57.56,75,0,18.48
26,New Norfolk,AU,2022-04-25 03:21:38,-42.7826,147.0587,59.67,67,100,1.59
27,Lagunas,PE,2022-04-25 03:21:39,-5.2269,-75.6753,73.67,98,100,2.44
28,Airai,TL,2022-04-25 03:21:39,-8.9266,125.4092,76.1,34,89,3.51
29,Puerto Ayora,EC,2022-04-25 03:21:40,-0.7393,-90.3518,72.0,91,68,7.11
30,Nanortalik,GL,2022-04-25 03:18:10,60.1432,-45.2371,36.16,92,100,8.95
31,Torbay,CA,2022-04-25 03:19:06,47.6666,-52.7314,38.75,97,100,11.5
32,Sao Filipe,CV,2022-04-25 03:18:15,14.8961,-24.4956,74.08,74,8,4.34
33,Laurens,US,2022-04-25 03:21:41,32.4502,-82.9165,68.49,78,0,6.91
34,Santarem,BR,2022-04-25 03:20:13,-2.4431,-54.7083,75.33,100,0,2.3
35,Chokurdakh,RU,2022-04-25 03:21:42,70.6333,147.9167,11.25,90,43,5.06
36,Hobart,AU,2022-04-25 03:18:25,-42.8794,147.3294,60.03,82,75,4.61
37,Mirnyy,RU,2022-04-25 03:21:43,62.5353,113.9611,30.24,39,100,7.0
38,Bengkulu,ID,2022-04-25 03:21:43,-3.8004,102.2655,83.34,71,86,4.79
39,Busselton,AU,2022-04-25 03:21:44,-33.65,115.3333,71.31,50,100,12.41
40,Bethel,US,2022-04-25 03:21:44,41.3712,-73.414,47.64,68,0,0.0
41,Kailua,US,2022-04-25 03:21:45,21.4022,-157.7394,82.38,71,20,14.97
42,Nuuk,GL,2022-04-25 03:21:45,64.1835,-51.7216,30.81,93,100,5.75
43,Kaitangata,NZ,2022-04-25 03:21:46,-46.2817,169.8464,55.87,69,70,18.9
44,Timbiqui,CO,2022-04-25 03:21:46,2.7717,-77.6654,74.86,94,100,3.49
45,Eisenach,DE,2022-04-25 03:23:23,50.9833,10.3167,46.94,98,100,2.46
